"true_N","true_ICC","true_AR1","true_event_rate","signal_mode","n_events","actual_event_rate","regen","empirical_icc","empirical_ar1","naive_mean","naive_sd","s10_mean","s10_sd","s5_mean","loco_auroc","true_auroc","optimism_naive_true","resid_s10_true","resid_s5_true","resid_loco_true","optimism_naive_loco","dev_s10_loco","fit_status","folds_ok","flagged","naive_reps_valid","s10_reps_valid","s5_reps_valid","loco_valid"
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.124046364872651,0.470077178609123,0.8140625,0.0392875461784294,0.890625,0.0515598694615191,0.828125,0.90625,0.567120369929263,0.246942130070737,0.323504630070737,0.261004630070737,0.339129630070737,-0.0921875,-0.015625,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.124046364872651,0.470077178609123,0.846875,0.00658807845868412,0.5515625,0.0779685934367166,0.515625,0.40625,0.532001840773125,0.314873159226875,0.0195606592268752,-0.0163768407731247,-0.125751840773125,0.440625,0.1453125,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,1,0.0984688734582673,0.431468830774345,0.96078431372549,0,0.87843137254902,0.0389972127847746,0.896078431372549,0.843137254901961,0.543046144953598,0.417738168771892,0.335385227595421,0.353032286418951,0.300091109948363,0.117647058823529,0.0352941176470588,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,1,0.0984688734582673,0.431468830774345,0.96078431372549,0,0.87843137254902,0.0389972127847746,0.896078431372549,0.843137254901961,0.544924788142678,0.415859525582812,0.333506584406341,0.351153643229871,0.298212466759282,0.117647058823529,0.0352941176470588,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.119967039698366,0.471139454077783,0.941176470588235,0.00924322589786339,0.592156862745098,0.0222606357724528,0.611764705882353,0.549019607843137,0.535076705987357,0.406099764600878,0.0570801567577413,0.0766879998949961,0.0139429018557804,0.392156862745098,0.0431372549019609,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.119967039698366,0.471139454077783,0.92156862745098,0,0.472549019607843,0.0312770878797527,0.496078431372549,0.509803921568627,0.599180597599185,0.322388029851795,-0.126631577991342,-0.103102166226636,-0.0893766760305579,0.411764705882353,-0.0372549019607843,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.117624192899882,0.44575957668646,0.75,0.0294627825494395,0.6015625,0.0896832049881384,0.6046875,0.671875,0.543908382066277,0.206091617933723,0.0576541179337232,0.0607791179337233,0.127966617933723,0.078125,-0.0703125,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.117624192899882,0.44575957668646,0.7234375,0.007547592055307,0.9234375,0.0604929475343109,0.8875,0.984375,0.539494009203088,0.183943490796912,0.383943490796912,0.348005990796912,0.444880990796912,-0.2609375,-0.0609375,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.136006185702572,0.474370164704863,0.974509803921569,0.00947148806940483,0.688235294117647,0.0493020187337153,0.666666666666667,0.647058823529412,0.524523643770627,0.449986160150942,0.16371165034702,0.14214302289604,0.122535179758785,0.327450980392157,0.0411764705882353,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.136006185702572,0.474370164704863,0.856862745098039,0.0132342854453049,0.519607843137255,0.0323512906425218,0.556862745098039,0.450980392156863,0.532378238184262,0.324484506913777,-0.0127703950470069,0.0244845069137773,-0.0813978460273991,0.405882352941176,0.0686274509803922,"ok",TRUE,FALSE,10,10,10,TRUE
